,ids
0,1361965949335834630
1,1363793054210154496
2,1363782716383252483
3,1363778428990853122
4,1363765051597991938
5,1363763223049232387
6,1363759617638080515
7,1363757926251450377
8,1363757842377957376
9,1363755131003633664
10,1363744936831680513
11,1363741601814749190
12,1363738529591877632
13,1363737069957357568
14,1363736915237875717
15,1363736698329382914
16,1363736488027058178
17,1363736201526673409
18,1363736003337482242
19,1363735782108856321
20,1363735559680774145
21,1363735038957920257
22,1363734834561118208
23,1363734603027140609
24,1363730248903380994
25,1363727250462547971
26,1363725416117190660
27,1363709045039902728
28,1363414202304626691
29,1363410609535143940
30,1363405299370119174
31,1363401965947006976
32,1363395892812926976
33,1363392388073480194
34,1363387299493462017
35,1363380484097667074
36,1363378405501251584
37,1363374979006541824
38,1363374461655859200
39,1363373577026883587
40,1363371754299793408
41,1363370541210550274
42,1363364572434997248
43,1363360296409174019
44,1363026231994810369
45,1363018186292137985
46,1362999269129617409
47,1362966907817775104
48,1362685939563311104
49,1362648442737209347
50,1362630974513827840
51,1362606822872481792
52,1362372400126509058
53,1362321485805797377
54,1362308770760708097
55,1362307320651214853
56,1362289339452030976
57,1362279380551163906
58,1362269818976677889
59,1361982860731813891
60,1361949327791443968
61,1361947767371882501
62,1361930124766171139
63,1361925690602455045
64,1361762194241822721
65,1361620860805742592
66,1361592487412916224
67,1361582431472652288
68,1361579278954098688
69,1361570109605740546
70,1361568392629657601
71,1361563260789657602
72,1361561897980612608
73,1361557590401024000
74,1361555983177244674
75,1361542742166433792
76,1361264340444274688
77,1361233690974687238
78,1361216932356247553
79,1361214093047312385
80,1361205103714304003
81,1361204572933488640
82,1361202328662122496
83,1361198953136611330
84,1361191415548641280
85,1361189680742617088
86,1363829651051859968
87,1363828272723853318
88,1363825423684100099
89,1363824307990855687
90,1363822085169172486
91,1363820435742285830
92,1363818796763512833
93,1363815554205839361
94,1363815499822415872
95,1363812383764938754
96,1363805254756745216
97,1363804860836175875
98,1363802541650280458
99,1363798492691509248
100,1363794934776659968
101,1363794535088816128
102,1363794162777280512
103,1363793189249966080
104,1363792056267735042
105,1363791408377823235
106,1363787882511622146
107,1363786906845253632
108,1363783874799693824
109,1363781438110396417
110,1363833623745544199
111,1363832597344882689
112,1363827358638161921
113,1363826791371206656
114,1363819465562062848
115,1363810206799560707
116,1363807251572682756
117,1363806208575029250
118,1363804225826938884
119,1363804137213853697
120,1363803566650109959
121,1363802892889686021
122,1363798558722375681
123,1363797867366858762
124,1363797357582823426
125,1363795586915454976
126,1363794806355472387
127,1363793590430945284
128,1363792061678387203
129,1363791609259831298
130,1363791488925188098
131,1363788093745213448
132,1363785808604446724
133,1363782281584861185
134,1363782185820565505
135,1363782155378253825
136,1363781253447774216
137,1363780842984767488
138,1363780077671116800
139,1363778748605169669
140,1363777066450223106
141,1363776822660505603
142,1363775891013210113
143,1363760505677115392
144,1363759986606804992
145,1363759762442235904
146,1363759604107259904
147,1363759278729920514
148,1363758896184197120
149,1363758444780675074
150,1363758440183660546
151,1363757436197347330
152,1363756851398119425
153,1363751152626634752
154,1363750551855456259
155,1363747401748652035
156,1363745968680628227
157,1363745228503404546
158,1363740037272207363
159,1363738303464415232
160,1363737292645531648
161,1363730032154341378
162,1363730021920235526
163,1363729978383335424
164,1363729866454147073
165,1363727927536480258
166,1363726107707641856
167,1363725624720977920
168,1363713292905181185
169,1363713275888820230
170,1363635430286057474
171,1363633616132136963
172,1363627327679320064
173,1363614675624210438
174,1363613774096252929
175,1363613467358486530
176,1363608397707411460
177,1363603560332742657
178,1363599807563071494
179,1363598381113868288
180,1363594066605338629
181,1363592990497902599
182,1363589969974095876
183,1363584957143203841
184,1363582129062477824
185,1363580213351886849
186,1363571776912031755
187,1363571092011569155
188,1363567066138226696
189,1363566463844552706
190,1363566267072970757
191,1363565406116597760
192,1363564142431461389
193,1363562025918554117
194,1363561860893724673
195,1363561424258297859
196,1363560199622131721
197,1363555765286543366
198,1363554439945191425
199,1363554116509847552
200,1363552907099074561
201,1363552586343792640
202,1363550579604287492
203,1363550224883605511
204,1363549417383612423
205,1363549316804182018
206,1363549251733770242
207,1363549210814078976
208,1363547479975804930
209,1363546552971755520
210,1363546474282430472
211,1363546099697516547
212,1363546043456045058
213,1363545952200634370
214,1363545856549539845
215,1363544297321152514
216,1363543987706089473
217,1363538218549972993
218,1363531916725649408
219,1363530968313790470
220,1363528665368297481
221,1363526501505916930
222,1363526053629673475
223,1363525525743038466
224,1363521149553016833
225,1363520906446966787
226,1363520136892841986
227,1363512059472789509
228,1363510624026845184
229,1363505529205772292
230,1363501030269480962
231,1363497831856807936
232,1363495916636934146
233,1363495565728841734
234,1363487692676362252
235,1363474988620259329
236,1363473830333849600
237,1363471356873031680
238,1363468908347469824
239,1363468686103871491
240,1363464975998681089
241,1363456979205820422
242,1363456896817131524
243,1363449638829912066
244,1363448755769520129
245,1363442886549909504
246,1363440490981568512
247,1363432544671309824
248,1363426376477511681
249,1363425607061827587
250,1363425011147673601
251,1363418539353387009
252,1363407621068324865
253,1363403063634128896
254,1363393084881518593
255,1363387457560051713
256,1363386809850470401
257,1363384591797649408
258,1363384511770329091
259,1363382790998401024
260,1363380510974705664
261,1363376995674058752
262,1363376378515709953
263,1363376001938579456
264,1363375446952468480
265,1363370600216018946
266,1363370548810686465
267,1363367928079515648
268,1363363920401100802
269,1363363801060499459
270,1363361323480940562
271,1363357033307717632
272,1363351201295839232
273,1363347954275336198
274,1363341771628048387
275,1363281957749194754
276,1363276357673828356
277,1363276097727705101
278,1363267126405038085
279,1363253103546490882
280,1363251132664053760
281,1363249654121574404
282,1363247417366298625
283,1363246314545442816
284,1363244956966678536
285,1363243073095020550
286,1363234748408209414
287,1363230687088803840
288,1363230460642533376
289,1363224933313224704
290,1363224470807265280
291,1363223431744000005
292,1363221727002714116
293,1363221475373817863
294,1363218604112699392
295,1363214234251890696
296,1363213983470280709
297,1363212811661422599
298,1363212373721559041
299,1363209988710277121
300,1363205812093648899
301,1363202483263258629
302,1363200993622687745
303,1363199446562054150
304,1363198828778782724
305,1363196506442973184
306,1363194845041479683
307,1363194286108528648
308,1363194244744282120
309,1363191847145922560
310,1363191348233396225
311,1363191193903988747
312,1363188289595973643
313,1363187821792681987
314,1363186729402982404
315,1363185944053096448
316,1363185686799646723
317,1363184788463628289
318,1363179647060635649
319,1363176985673887745
320,1363172446946394113
321,1363172397470334978
322,1363172163252019201
323,1363172074731225089
324,1363169798922862594
325,1363169609717866499
326,1363169358676168709
327,1363166498966110214
328,1363166345945317382
329,1363162316393619457
330,1363161335027105794
331,1363158356547022849
332,1363158296350388225
333,1363155391207596033
334,1363154397379837953
335,1363148235846676486
336,1363141043475087362
337,1363133856568799232
338,1363133493585264640
339,1363130621372076032
340,1363120777634185217
341,1363119681666764800
342,1363116120086106114
343,1363114286491590657
344,1363112653774876672
345,1363109942039822337
346,1363106363241619457
347,1363103073904844802
348,1363095398005559299
